Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude,date,Flare,Class,ID
19331,155,10,Bxo,1,3,Beta,13,0,02/02/2001,,,1933136924
19332,158,40,Dso,4,8,Beta,8,3,02/02/2001,,,1933236924
19333,165,20,Cso,4,5,Beta,24,10,02/02/2001,,,1933336924
19334,77,60,Hsx,2,1,Alpha,12,-78,02/02/2001,,,1933436924
19325,190,10,Hsx,1,1,Alpha,10,48,03/02/2001,,,1932536925
19327,178,30,Dso,6,4,Beta,17,36,03/02/2001,,,1932736925
19329,148,10,Axx,2,2,Alpha,-10,6,03/02/2001,,,1932936925
19330,111,140,Eao,12,16,Beta,26,-31,03/02/2001,,,1933036925
19332,161,30,Dao,6,5,Beta,8,19,03/02/2001,,,1933236925
19333,166,30,Dao,6,5,Beta,25,24,03/02/2001,,,1933336925
19334,75,200,Eso,15,6,Beta,11,-67,03/02/2001,,,1933436925
19325,189,0,Axx,0,1,Alpha,11,60,04/02/2001,,,1932536926
19327,176,40,Dao,6,5,Beta,18,47,04/02/2001,,,1932736926
19329,143,10,Bxo,3,3,Beta,-9,14,04/02/2001,,,1932936926
19330,111,160,Eso,11,17,Beta,26,-18,04/02/2001,,,1933036926
19332,161,20,Cro,5,4,Beta,9,32,04/02/2001,,,1933236926
19333,168,30,Cao,3,3,Beta,26,39,04/02/2001,,,1933336926
19334,75,210,Eso,11,9,Beta,11,-54,04/02/2001,,,1933436926
19335,61,100,Dao,10,5,Beta,9,-68,04/02/2001,,,1933536926
19336,130,0,Axx,0,1,Alpha,-10,1,04/02/2001,,,1933636926
19337,53,0,Axx,1,1,Alpha,-27,-76,04/02/2001,,,1933736926
19325,190,0,Axx,0,1,Alpha,11,74,05/02/2001,,,1932536927
19327,178,50,Cao,6,5,Beta,17,62,05/02/2001,,,1932736927
19330,112,130,Eai,12,17,Beta,25,-4,05/02/2001,,,1933036927
19333,166,30,Cso,7,5,Beta,25,50,05/02/2001,,,1933336927
19334,75,220,Eai,14,18,Beta,11,-41,05/02/2001,,,1933436927
19335,64,130,Dao,9,9,Beta,8,-52,05/02/2001,,,1933536927
19336,133,10,Bxo,1,3,Beta,-10,17,05/02/2001,,,1933636927
19337,56,20,Hsx,1,1,Alpha,-27,-60,05/02/2001,,,1933736927
19338,57,30,Hrx,1,2,Alpha,-17,-59,05/02/2001,,,1933836927
19339,42,70,Hsx,7,3,Alpha,-12,-74,05/02/2001,,,1933936927
19327,176,10,Hrx,1,1,Alpha,19,73,06/02/2001,,,1932736928
19330,112,90,Dao,8,6,Beta,26,9,06/02/2001,,,1933036928
19333,167,10,Axx,1,1,Alpha,26,64,06/02/2001,,,1933336928
19334,76,180,Eai,13,17,Beta,12,-27,06/02/2001,,,1933436928
19335,63,80,Dao,8,11,Beta,8,-40,06/02/2001,,,1933536928
19336,130,10,Cro,3,4,Beta,-9,27,06/02/2001,,,1933636928
19337,52,20,Cro,3,4,Beta,-28,-51,06/02/2001,,,1933736928
19338,53,20,Bxo,3,2,Beta,-18,-50,06/02/2001,,,1933836928
19339,41,220,Eao,11,7,Beta,-11,-62,06/02/2001,,,1933936928
19340,98,10,Bxo,3,4,Beta,-13,-5,06/02/2001,,,1934036928
19330,111,80,Dao,10,10,Beta,26,21,07/02/2001,,,1933036929
19334,77,130,Eao,12,19,Beta,11,-13,07/02/2001,,,1933436929
